label,id,lat,lon,
Norwood-205 St,D01N,40.874811,-73.878855
Bedford Park Blvd,D03N,40.873244,-73.887138
Kingsbridge Rd,D04N,40.866978,-73.893509
Fordham Rd,D05N,40.861296,-73.897749
182-183 Sts,D06N,40.856093,-73.900741
Tremont Av,D07N,40.85041,-73.905227
174-175 Sts,D08N,40.8459,-73.910136
170 St,D09N,40.839306,-73.9134
167 St,D10N,40.833771,-73.91844
161 St-Yankee Stadium,D11N,40.827905,-73.925651
155 St,D12N,40.830135,-73.938209
145 St,D13N,40.824783,-73.944216
125 St,A15N,40.811109,-73.952343
59 St-Columbus Circle,A24N,40.768296,-73.981736
7 Av,D14N,40.762862,-73.981637
47-50 Sts-Rockefeller Ctr,D15N,40.758663,-73.981329
42 St-Bryant Pk,D16N,40.754222,-73.984569
34 St-Herald Sq,D17N,40.749719,-73.987823
W 4 St-Wash Sq,D20N,40.732338,-74.000495
Broadway-Lafayette St,D21N,40.725297,-73.996204
Grand St,D22N,40.718267,-73.993753
DeKalb Av,R30N,40.690635,-73.981824
Atlantic Av-Barclays Ctr,R31N,40.683666,-73.97881
Union St,R32N,40.677316,-73.98311
4 Av-9 St,R33N,40.670847,-73.988302
Prospect Av,R34N,40.665414,-73.992872
25 St,R35N,40.660397,-73.998091
36 St,R36N,40.655144,-74.003549
9 Av,B12N,40.646292,-73.994324
Fort Hamilton Pkwy,B13N,40.640914,-73.994304
50 St,B14N,40.63626,-73.994791
55 St,B15N,40.631435,-73.995476
62 St,B16N,40.626472,-73.996895
71 St,B17N,40.619589,-73.998864
79 St,B18N,40.613501,-74.00061
18 Av,B19N,40.607954,-74.001736
20 Av,B20N,40.604556,-73.998168
Bay Pkwy,B21N,40.601875,-73.993728
25 Av,B22N,40.597704,-73.986829
Bay 50 St,B23N,40.588841,-73.983765
Coney Island-Stillwell Av,D43N,40.577422,-73.981233
