node1,node2,tstart,tend,line,
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,441,442,Nassau St Express to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,121 St,442,446,Nassau St Express to 121 St
121 St,104 St,446,449,Nassau St Express to 104 St
104 St,Woodhaven Blvd,449,450,Nassau St Express to Woodhaven Blvd
Woodhaven Blvd,75 St-Elderts Ln,450,453,Nassau St Express to 75 St-Elderts Ln
75 St-Elderts Ln,Crescent St,453,456,Nassau St Express to Crescent St
Crescent St,Norwood Av,456,457,Nassau St Express to Norwood Av
Norwood Av,Van Siclen Av,457,460,Nassau St Express to Van Siclen Av
Van Siclen Av,Alabama Av,460,461,Nassau St Express to Alabama Av
Alabama Av,Broadway Junction,461,462,Nassau St Express to Broadway Junction
Broadway Junction,Chauncey St,462,463,Nassau St Express to Chauncey St
Chauncey St,Gates Av,463,466,Nassau St Express to Gates Av
Gates Av,Myrtle Av,466,469,Nassau St Express to Myrtle Av
Myrtle Av,Marcy Av,469,473,Nassau St Express to Marcy Av
Marcy Av,Delancey St-Essex St,473,480,Nassau St Express to Delancey St-Essex St
Delancey St-Essex St,Bowery,480,482,Nassau St Express to Bowery
Bowery,Canal St,482,483,Nassau St Express to Canal St
Canal St,Chambers St,483,485,Nassau St Express to Chambers St
Chambers St,Fulton St,485,486,Nassau St Express to Fulton St
Fulton St,Broad St,486,488,Nassau St Express to Broad St
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,452,453,Nassau St Express to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,121 St,453,457,Nassau St Express to 121 St
121 St,104 St,457,460,Nassau St Express to 104 St
104 St,Woodhaven Blvd,460,462,Nassau St Express to Woodhaven Blvd
Woodhaven Blvd,75 St-Elderts Ln,462,465,Nassau St Express to 75 St-Elderts Ln
75 St-Elderts Ln,Crescent St,465,467,Nassau St Express to Crescent St
Crescent St,Norwood Av,467,469,Nassau St Express to Norwood Av
Norwood Av,Van Siclen Av,469,471,Nassau St Express to Van Siclen Av
Van Siclen Av,Alabama Av,471,472,Nassau St Express to Alabama Av
Alabama Av,Broadway Junction,472,474,Nassau St Express to Broadway Junction
Broadway Junction,Chauncey St,474,475,Nassau St Express to Chauncey St
Chauncey St,Gates Av,475,477,Nassau St Express to Gates Av
Gates Av,Myrtle Av,477,480,Nassau St Express to Myrtle Av
Myrtle Av,Marcy Av,480,484,Nassau St Express to Marcy Av
Marcy Av,Delancey St-Essex St,484,492,Nassau St Express to Delancey St-Essex St
Delancey St-Essex St,Bowery,492,493,Nassau St Express to Bowery
Bowery,Canal St,493,495,Nassau St Express to Canal St
Canal St,Chambers St,495,497,Nassau St Express to Chambers St
Chambers St,Fulton St,497,498,Nassau St Express to Fulton St
Fulton St,Broad St,498,500,Nassau St Express to Broad St
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,462,463,Nassau St Express to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,121 St,463,467,Nassau St Express to 121 St
121 St,104 St,467,470,Nassau St Express to 104 St
104 St,Woodhaven Blvd,470,472,Nassau St Express to Woodhaven Blvd
Woodhaven Blvd,75 St-Elderts Ln,472,475,Nassau St Express to 75 St-Elderts Ln
75 St-Elderts Ln,Crescent St,475,477,Nassau St Express to Crescent St
Crescent St,Norwood Av,477,479,Nassau St Express to Norwood Av
Norwood Av,Van Siclen Av,479,481,Nassau St Express to Van Siclen Av
Van Siclen Av,Alabama Av,481,482,Nassau St Express to Alabama Av
Alabama Av,Broadway Junction,482,484,Nassau St Express to Broadway Junction
Broadway Junction,Chauncey St,484,485,Nassau St Express to Chauncey St
Chauncey St,Gates Av,485,487,Nassau St Express to Gates Av
Gates Av,Myrtle Av,487,490,Nassau St Express to Myrtle Av
Myrtle Av,Marcy Av,490,494,Nassau St Express to Marcy Av
Marcy Av,Delancey St-Essex St,494,502,Nassau St Express to Delancey St-Essex St
Delancey St-Essex St,Bowery,502,503,Nassau St Express to Bowery
Bowery,Canal St,503,505,Nassau St Express to Canal St
Canal St,Chambers St,505,507,Nassau St Express to Chambers St
Chambers St,Fulton St,507,508,Nassau St Express to Fulton St
Fulton St,Broad St,508,510,Nassau St Express to Broad St
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,472,473,Nassau St Express to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,121 St,473,477,Nassau St Express to 121 St
121 St,104 St,477,480,Nassau St Express to 104 St
104 St,Woodhaven Blvd,480,482,Nassau St Express to Woodhaven Blvd
Woodhaven Blvd,75 St-Elderts Ln,482,485,Nassau St Express to 75 St-Elderts Ln
75 St-Elderts Ln,Crescent St,485,487,Nassau St Express to Crescent St
Crescent St,Norwood Av,487,489,Nassau St Express to Norwood Av
Norwood Av,Van Siclen Av,489,491,Nassau St Express to Van Siclen Av
Van Siclen Av,Alabama Av,491,492,Nassau St Express to Alabama Av
Alabama Av,Broadway Junction,492,494,Nassau St Express to Broadway Junction
Broadway Junction,Chauncey St,494,495,Nassau St Express to Chauncey St
Chauncey St,Gates Av,495,497,Nassau St Express to Gates Av
Gates Av,Myrtle Av,497,500,Nassau St Express to Myrtle Av
Myrtle Av,Marcy Av,500,504,Nassau St Express to Marcy Av
Marcy Av,Delancey St-Essex St,504,512,Nassau St Express to Delancey St-Essex St
Delancey St-Essex St,Bowery,512,513,Nassau St Express to Bowery
Bowery,Canal St,513,515,Nassau St Express to Canal St
Canal St,Chambers St,515,517,Nassau St Express to Chambers St
Chambers St,Fulton St,517,518,Nassau St Express to Fulton St
Fulton St,Broad St,518,520,Nassau St Express to Broad St
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,482,483,Nassau St Express to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,121 St,483,487,Nassau St Express to 121 St
121 St,104 St,487,490,Nassau St Express to 104 St
104 St,Woodhaven Blvd,490,492,Nassau St Express to Woodhaven Blvd
Woodhaven Blvd,75 St-Elderts Ln,492,495,Nassau St Express to 75 St-Elderts Ln
75 St-Elderts Ln,Crescent St,495,497,Nassau St Express to Crescent St
Crescent St,Norwood Av,497,499,Nassau St Express to Norwood Av
Norwood Av,Van Siclen Av,499,501,Nassau St Express to Van Siclen Av
Van Siclen Av,Alabama Av,501,502,Nassau St Express to Alabama Av
Alabama Av,Broadway Junction,502,504,Nassau St Express to Broadway Junction
Broadway Junction,Chauncey St,504,505,Nassau St Express to Chauncey St
Chauncey St,Gates Av,505,507,Nassau St Express to Gates Av
Gates Av,Myrtle Av,507,510,Nassau St Express to Myrtle Av
Myrtle Av,Marcy Av,511,515,Nassau St Express to Marcy Av
Marcy Av,Delancey St-Essex St,515,523,Nassau St Express to Delancey St-Essex St
Delancey St-Essex St,Bowery,523,524,Nassau St Express to Bowery
Bowery,Canal St,524,526,Nassau St Express to Canal St
Canal St,Chambers St,526,528,Nassau St Express to Chambers St
Chambers St,Fulton St,528,529,Nassau St Express to Fulton St
Fulton St,Broad St,529,531,Nassau St Express to Broad St
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,492,493,Nassau St Express to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,121 St,493,497,Nassau St Express to 121 St
121 St,104 St,497,500,Nassau St Express to 104 St
